[[-0.1072416827082634, 0.6215116381645203], [-0.40653130412101746, 0.6811110973358154], [1.616304636001587, 0.5529055595397949], [1.3429988622665405, -0.8838973045349121], [0.024240227416157722, 1.272520899772644]]
[[-0.11821053922176361, 0.6311479210853577], [-0.41843247413635254, 0.6879056692123413], [1.6747641563415527, 0.5680245161056519], [1.364107608795166, -0.8840544819831848], [0.04108201712369919, 1.2619116306304932]]
[[-0.1293080449104309, 0.6408506631851196], [-0.4306175112724304, 0.6946462392807007], [1.7338247299194336, 0.5828535556793213], [1.385646104812622, -0.8838043808937073], [0.05820918828248978, 1.2503366470336914]]
[[-0.140559583902359, 0.6506214737892151], [-0.44313570857048035, 0.7013408541679382], [1.793283224105835, 0.5973237752914429], [1.4076497554779053, -0.883254885673523], [0.07554769515991211, 1.237923502922058]]
[[-0.15197795629501343, 0.6604577898979187], [-0.45601359009742737, 0.7079951763153076], [1.8529551029205322, 0.6114063858985901], [1.4301207065582275, -0.8825128078460693], [0.09303084015846252, 1.2248262166976929]]
[[-0.16356851160526276, 0.670359194278717], [-0.46926558017730713, 0.7146108746528625], [1.9126956462860107, 0.6250866651535034], [1.4530552625656128, -0.8816643953323364], [0.1106029748916626, 1.2111810445785522]]
[[-0.17534828186035156, 0.6803245544433594], [-0.4829197824001312, 0.7211955189704895], [1.972340703010559, 0.6383314728736877], [1.4764727354049683, -0.8808140158653259], [0.12819921970367432, 1.1971328258514404]]
[[-0.18731509149074554, 0.6903480887413025], [-0.49697649478912354, 0.7277530431747437], [2.0317862033843994, 0.651154637336731], [1.5003491640090942, -0.8800321817398071], [0.14578276872634888, 1.1828163862228394]]
[[-0.1994638890028, 0.7004289031028748], [-0.5114383697509766, 0.7342932820320129], [2.0909159183502197, 0.6635716557502747], [1.5246597528457642, -0.8794064521789551], [0.1633071005344391, 1.1683849096298218]]
[[-0.21178893744945526, 0.7105649709701538], [-0.5262975692749023, 0.7408233880996704], [2.1496691703796387, 0.6756033301353455], [1.549382209777832, -0.8789861798286438], [0.1807451844215393, 1.1539349555969238]]
[[-0.22428202629089355, 0.7207537293434143], [-0.5415545701980591, 0.7473592162132263], [2.20796799659729, 0.6872677206993103], [1.5744963884353638, -0.8788381218910217], [0.19806016981601715, 1.1395841836929321]]
[[-0.23693129420280457, 0.7309907674789429], [-0.557214081287384, 0.7539224624633789], [2.265706777572632, 0.6985858678817749], [1.5999810695648193, -0.879057765007019], [0.21520467102527618, 1.1254909038543701]]
[[-0.24973410367965698, 0.7412777543067932], [-0.5732715129852295, 0.7605214715003967], [2.322861671447754, 0.7095650434494019], [1.6258333921432495, -0.8796748518943787], [0.23214779794216156, 1.1117030382156372]]
[[-0.2626816928386688, 0.7516101002693176], [-0.5897306203842163, 0.7671723961830139], [2.3793091773986816, 0.7202186584472656], [1.6520315408706665, -0.880808413028717], [0.24882391095161438, 1.098436951637268]]
[[-0.27576544880867004, 0.7619907259941101], [-0.6065807342529297, 0.7738872170448303], [2.4349756240844727, 0.7305687069892883], [1.6785471439361572, -0.8825423717498779], [0.2651815414428711, 1.0858551263809204]]
[[-0.28897929191589355, 0.772419810295105], [-0.6238141059875488, 0.7806739807128906], [2.489819288253784, 0.7406358122825623], [1.7053611278533936, -0.8849340081214905], [0.28118953108787537, 1.0740655660629272]]
[[-0.3023201525211334, 0.7828959822654724], [-0.6414247155189514, 0.7875412106513977], [2.543790340423584, 0.7504370212554932], [1.7324554920196533, -0.8880492448806763], [0.2968120872974396, 1.0631964206695557]]
[[-0.31578531861305237, 0.7934206128120422], [-0.6594074368476868, 0.7945001125335693], [2.5968658924102783, 0.7599900960922241], [1.759819746017456, -0.8919271230697632], [0.3120303452014923, 1.0533175468444824]]
[[-0.3293720483779907, 0.8039957880973816], [-0.6777520179748535, 0.8015574216842651], [2.649033546447754, 0.7693129777908325], [1.787441372871399, -0.8965983986854553], [0.3268277049064636, 1.0444903373718262]]
[[-0.34307926893234253, 0.8146235346794128], [-0.6964530944824219, 0.8087180852890015], [2.7003047466278076, 0.778414785861969], [1.815321922302246, -0.9020655751228333], [0.34119781851768494, 1.0367182493209839]]
[[-0.35690438747406006, 0.8253052830696106], [-0.7154990434646606, 0.8159890174865723], [2.750683069229126, 0.78731369972229], [1.8434487581253052, -0.9083409309387207], [0.3551362156867981, 1.0300325155258179]]
[[-0.3708442151546478, 0.836042046546936], [-0.734878420829773, 0.8233781456947327], [2.8001813888549805, 0.7960297465324402], [1.8718109130859375, -0.9154257774353027], [0.36864930391311646, 1.0244390964508057]]
[[-0.38489675521850586, 0.8468355536460876], [-0.7545859813690186, 0.8308891654014587], [2.848817825317383, 0.8045705556869507], [1.900410771369934, -0.9233109951019287], [0.38173776865005493, 1.0199205875396729]]
[[-0.39905717968940735, 0.8576859831809998], [-0.7746114134788513, 0.8385255932807922], [2.8966116905212402, 0.8129517436027527], [1.9292397499084473, -0.9319889545440674], [0.3944084346294403, 1.016467809677124]]
[[-0.41332173347473145, 0.8685932755470276], [-0.7949423789978027, 0.8462920188903809], [2.9435811042785645, 0.8211919665336609], [1.958284854888916, -0.9414530992507935], [0.40667229890823364, 1.0140748023986816]]
[[-0.4276859164237976, 0.8795569539070129], [-0.8155684471130371, 0.8541923761367798], [2.9897444248199463, 0.8293071389198303], [1.987534523010254, -0.9516952037811279], [0.4185389578342438, 1.0127332210540771]]
[[-0.44214534759521484, 0.8905760049819946], [-0.8364776968955994, 0.8622288107872009], [3.0351197719573975, 0.8373141884803772], [2.0169737339019775, -0.9627076387405396], [0.430019348859787, 1.0124387741088867]]
[[-0.456697940826416, 0.9016501307487488], [-0.8576627969741821, 0.8704026341438293], [3.0797224044799805, 0.8452228903770447], [2.046595811843872, -0.974481999874115], [0.44111955165863037, 1.013181209564209]]
[[-0.4713384807109833, 0.9127784371376038], [-0.87911057472229, 0.8787163496017456], [3.1235687732696533, 0.8530518412590027], [2.0763819217681885, -0.9870115518569946], [0.45185309648513794, 1.0149601697921753]]
[[-0.48606061935424805, 0.9239599704742432], [-0.9008085131645203, 0.8871724009513855], [3.166675090789795, 0.8608194589614868], [2.1063132286071777, -1.0002896785736084], [0.4622325897216797, 1.0177751779556274]]
[[-0.5008617639541626, 0.9351944923400879], [-0.922751247882843, 0.8957709074020386], [3.2090532779693604, 0.8685322403907776], [2.1363847255706787, -1.0143083333969116], [0.47226235270500183, 1.0216162204742432]]
[[-0.5157396197319031, 0.9464817643165588], [-0.9449306130409241, 0.9045119285583496], [3.250715494155884, 0.8761995434761047], [2.1665866374969482, -1.0290602445602417], [0.48194950819015503, 1.0264781713485718]]
[[-0.5306911468505859, 0.9578214883804321], [-0.9673381447792053, 0.9133948683738708], [3.2916738986968994, 0.8838309645652771], [2.196908473968506, -1.0445369482040405], [0.49130281805992126, 1.0323560237884521]]
[[-0.545712411403656, 0.9692129492759705], [-0.9899626970291138, 0.922419011592865], [3.331941843032837, 0.8914397954940796], [2.2273340225219727, -1.0607305765151978], [0.5003353357315063, 1.0392489433288574]]
[[-0.5607993602752686, 0.9806544184684753], [-1.0127947330474854, 0.9315841794013977], [3.3715322017669678, 0.8990395665168762], [2.2578468322753906, -1.0776337385177612], [0.5090610980987549, 1.0471547842025757]]
[[-0.5759453773498535, 0.9921444654464722], [-1.035820722579956, 0.9408888220787048], [3.410459041595459, 0.9066464900970459], [2.2884254455566406, -1.0952396392822266], [0.5174941420555115, 1.0560791492462158]]
